Editor,Status,,Act,Code,Div,Chapter,#,Text of Statute,Breakdown,Date Logged,Logger,Summary
,,,,,,,,,,,,
,STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP STOP ,,,,,,,,,,,
,,,,,,,,,,,,
,"DID YOU READ THE GUIDE? If not, GO HERE. ",,,,,,,,,,,
,,,,,,,,,,,,
,,General,,,,,,,,,,
,,,,,,,,,,,,
CD,,Definitions,,,,,,,,,,
,,Definitions in CA's Controlled Substances Act,Uniform Controlled Substances Act,HSC,10,1,11000-11651,,,,,
,,"     ""cannabis""",,,,,11018,"“Cannabis” means all parts of the plant Cannabis sativa L., whether growing or not; the seeds thereof; the resin extracted from any part of the plant; and every compound, manufacture, salt, derivative, mixture, or preparation of the plant, its seeds or resin. It does not include either of the following:
(a) Industrial hemp, as defined in Section 11018.5.
(b) The weight of any other ingredient combined with cannabis to prepare topical or oral administrations, food, drink, or other product.","Cannabis includes any part of a cannabis plant, unless it meets the defition of ""industrial hemp"" ",03/16/2019,,
,,"     ""industrial hemp""",,,,,11018.5,"(a) “Industrial hemp” means a crop that is limited to types of the plant Cannabis sativa L. having no more than three-tenths of 1 percent tetrahydrocannabinol (THC) contained in the dried flowering tops, whether growing or not; the seeds of the plant; the resin extracted from any part of the plant; and every compound, manufacture, salt, derivative, mixture, or preparation of the plant, its seeds or resin produced therefrom.
(b) Industrial hemp shall not be subject to the provisions of this division or of Division 10 (commencing with Section 26000) of the Business and Professions Code, but instead shall be regulated by the Department of Food and Agriculture in accordance with the provisions of Division 24 (commencing with Section 81000) of the Food and Agricultural Code, inclusive.","If the flowers of a cannabis plant have less than 0.3% THC, all parts of the plant are classified as ""industrial hemp"" and is not a controlled substance. Regulations for hemp are in Food and Agriculture Code, Div 24. ",03/16/2019,,
,,"     ""concentrated cannabis""",,,,,11006.5,"“Concentrated cannabis” means the separated resin, whether crude or purified, obtained from cannabis.",,03/16/2019,,
,,"     ""cannabis product"" ",,,,,11018.1,"“Cannabis products” means cannabis that has undergone a process whereby the plant material has been transformed into a concentrate, including, but not limited to, concentrated cannabis, or an edible or topical product containing cannabis or concentrated cannabis and other ingredients.",,03/16/2019,,
,,"     ""cannabis accessories"" ",,,,,11018.2,"“Cannabis accessories” means any equipment, products or materials of any kind which are used, intended for use, or designed for use in planting, propagating, cultivating, growing, harvesting, manufacturing, compounding, converting, producing, processing, preparing, testing, analyzing, packaging, repackaging, storing, smoking, vaporizing, or containing cannabis, or for ingesting, inhaling, or otherwise introducing cannabis or cannabis products into the human body.",,03/16/2019,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BTV,,Local Control,MAUCRSA,BPC,10,20,26200 - 26202,,,,,"State cannabis laws set the floor for cannabis business regulation, and localities may set their own ceilings or prohibit cannabis businesses altogether.  Localities may permit onsite cannabis consumption at cannabis microbusinesses or retail stores under specific conditions.  The state may issue temporary event licenses allowing onsite cannabis sales and consumption, but under specific conditions and only in localities authorizing such events."
